Iter 471 | Total: 23.6977 | Shared: 4.6413 | rgb: 4.4059 | pose: 4.9661 | depth: 5.1202 | ir: 4.5642
Iter 481 | Total: 21.9567 | Shared: 4.0805 | rgb: 4.2601 | pose: 4.5629 | depth: 4.8348 | ir: 4.2184
Iter 491 | Total: 20.8856 | Shared: 4.0171 | rgb: 4.0294 | pose: 4.7293 | depth: 4.4394 | ir: 3.6704
Iter 501 | Total: 21.0034 | Shared: 4.7752 | rgb: 3.3627 | pose: 4.7147 | depth: 4.5816 | ir: 3.5692
Iter 511 | Total: 19.1278 | Shared: 4.0581 | rgb: 3.3247 | pose: 3.9279 | depth: 4.5349 | ir: 3.2822
Iter 521 | Total: 23.3509 | Shared: 4.7151 | rgb: 4.2651 | pose: 5.1625 | depth: 4.8382 | ir: 4.3701
Iter 531 | Total: 21.8057 | Shared: 4.5857 | rgb: 4.1373 | pose: 4.3788 | depth: 5.0389 | ir: 3.6650
Iter 541 | Total: 21.8121 | Shared: 4.9733 | rgb: 3.7611 | pose: 4.3963 | depth: 4.8349 | ir: 3.8466
Iter 551 | Total: 20.5279 | Shared: 3.9379 | rgb: 3.7896 | pose: 4.2621 | depth: 4.6799 | ir: 3.8584
Iter 561 | Total: 20.0365 | Shared: 4.5671 | rgb: 3.3004 | pose: 4.1016 | depth: 4.4262 | ir: 3.6412
Iter 571 | Total: 20.8496 | Shared: 4.8262 | rgb: 3.5088 | pose: 4.2130 | depth: 4.5884 | ir: 3.7132
Iter 581 | Total: 21.4820 | Shared: 4.0011 | rgb: 3.7919 | pose: 4.6302 | depth: 5.0037 | ir: 4.0551
Iter 591 | Total: 20.7796 | Shared: 4.2764 | rgb: 3.1458 | pose: 4.9635 | depth: 4.8737 | ir: 3.5202
Iter 601 | Total: 19.8172 | Shared: 4.2506 | rgb: 3.6124 | pose: 4.2935 | depth: 4.4677 | ir: 3.1929
Iter 611 | Total: 21.6333 | Shared: 5.0276 | rgb: 3.8196 | pose: 4.2624 | depth: 4.8761 | ir: 3.6476
Iter 621 | Total: 23.5936 | Shared: 5.1979 | rgb: 4.0671 | pose: 4.7300 | depth: 4.9072 | ir: 4.6914
Iter 631 | Total: 22.1982 | Shared: 4.4033 | rgb: 4.2425 | pose: 4.3846 | depth: 5.0174 | ir: 4.1503
Iter 641 | Total: 22.2365 | Shared: 4.5301 | rgb: 4.0386 | pose: 4.8824 | depth: 4.7105 | ir: 4.0750
Iter 651 | Total: 22.2711 | Shared: 4.4472 | rgb: 4.1768 | pose: 4.2844 | depth: 5.0284 | ir: 4.3343
Iter 661 | Total: 21.2160 | Shared: 5.1790 | rgb: 3.5222 | pose: 4.1012 | depth: 4.9639 | ir: 3.4496
Iter 671 | Total: 20.8580 | Shared: 4.4410 | rgb: 3.6647 | pose: 4.1710 | depth: 4.7693 | ir: 3.8119
Iter 681 | Total: 20.9643 | Shared: 4.0358 | rgb: 3.8068 | pose: 4.3302 | depth: 4.9135 | ir: 3.8780
Iter 691 | Total: 20.6816 | Shared: 4.6098 | rgb: 3.1638 | pose: 4.5886 | depth: 4.9219 | ir: 3.3974
Iter 701 | Total: 21.5900 | Shared: 4.4597 | rgb: 4.1371 | pose: 4.4773 | depth: 4.7590 | ir: 3.7568
Iter 711 | Total: 22.6028 | Shared: 5.2315 | rgb: 4.1207 | pose: 4.3493 | depth: 4.9639 | ir: 3.9374
Iter 721 | Total: 20.7426 | Shared: 4.0562 | rgb: 3.5670 | pose: 4.7581 | depth: 4.8083 | ir: 3.5530
Iter 731 | Total: 22.4826 | Shared: 5.1396 | rgb: 4.4550 | pose: 4.0689 | depth: 4.8380 | ir: 3.9811
